ZONE_RU,ADM1_RU,ADM2_RU,ADM2_PCODE,KATO
Сухостепная,Акмолинская,Aршалынский,KZ113400,113400000
Полупустынная,В-Казахстанская,Абайский,KZ633200,633200000
Сухостепная,Актюбинская,Айтекебийский,KZ153400,153400000
Степная,С-Казахстанская,Айыртауский,KZ593200,593200000
Сухостепная,З-Казахстанская,Акжаикский,KZ273200,273200000
Степная,С-Казахстанская,Акжарский,KZ593400,593400000
Степная,С-Казахстанская,Аккайынский,KZ595800,595800000
Степная,Акмолинская,Аккольский,KZ113200,113200000
Сухостепная,Павлодарская,Аккулы,KZ555200,555200000
Сухостепная,Павлодарская,Аксу,KZ551600,551600000
Предгорно-пустынно-степная,Алматинская,Аксуский,KZ193200,193200000
Пустынная,Мангистауская,Актау,KZ471000,471000000
Сухостепная,Актюбинская,Актобе,KZ151000,151000000
Сухостепная,Карагандинская,Абайский,KZ353200,353200000
Полупустынная,Карагандинская,Актогайский,KZ353600,353600000
Предгорно-пустынно-степная,Алматинская,Алакольский,KZ193400,193400000
Предгорно-пустынно-степная,Алматы,Алатауский,KZ751210,751210000
Сухостепная,Актюбинская,Алгинский,KZ153200,153200000
Предгорно-пустынно-степная,Алматы,Алмалинский,KZ751110,751110000
Сухостепная,Нур-Султан,Алматинский,KZ711110,711110000
Южно-Сибирская горная и предгорная,В-Казахстанская,Алтайский,KZ634800,634800000
Степная,Костанайская,Алтынсаринский,KZ393200,393200000
Предгорно-пустынно-степная,Шымкент,Абайский,KZ791110,791110000
Предгорно-пустынно-степная,Шымкент,Аль-Фарабиский,KZ791310,791310000
Полупустынная,Костанайская,Амангельдинский,KZ393400,393400000
Пустынная,Кызылординская,Аральский,KZ433200,433200000
Полупустынная,Костанайская,Аркалык,KZ391600,391600000
Предгорно-пустынно-степная,Туркестанская,Арысь,KZ611600,611600000
Сухостепная,Акмолинская,Астраханский,KZ113600,113600000
Сухостепная,Акмолинская,Атбасарский,KZ113800,113800000
Пустынная,Атырауская,Атырау,KZ231000,231000000
Степная,Костанайская,Аулиекольский,KZ393600,393600000
Предгорно-пустынно-степная,Алматы,Ауэзовский,KZ751310,751310000
Полупустынная,В-Казахстанская,Аягозский,KZ633400,633400000
Пустынная,Актюбинская,Байганинский,KZ153600,153600000
Предгорно-пустынно-степная,Туркестанская,Байдибек,KZ613600,613600000
Предгорно-пустынно-степная,Жамбылская,Байзакский,KZ313600,313600000
Пустынная,Кызылординская,Байконыр,KZ431900,431900000
Сухостепная,Нур-Султан,Байконырский,KZ711410,711410000
Сухостепная,З-Казахстанская,Байтерек,KZ274400,274400000
Полупустынная,Карагандинская,Балхаш,KZ351600,351600000
Предгорно-пустынно-степная,Алматинская,Балхашский,KZ193600,193600000
Сухостепная,Павлодарская,Актогайский,KZ553200,553200000
Сухостепная,Павлодарская,Баянаульский,KZ553600,553600000
Степная,Костанайская,Беимбет Майлин,KZ396400,396400000
Пустынная,Мангистауская,Бейнеуский,KZ473600,473600000
Сухостепная,В-Казахстанская,Бескарагайский,KZ633600,633600000
Степная,Акмолинская,Биржан сал,KZ114500,114500000
Полупустынная,З-Казахстанская,Бокейординский,KZ275400,275400000
Сухостепная,В-Казахстанская,Бородулихинский,KZ633800,633800000
Предгорно-пустынно-степная,Алматы,Бостандыкский,KZ751410,751410000
Степная,Акмолинская,Буландынский,KZ114000,114000000
Степная,Акмолинская,Бурабайский,KZ117000,117000000
Сухостепная,З-Казахстанская,Бурлинский,KZ273600,273600000
Сухостепная,Карагандинская,Бухар-Жырауский,KZ354000,354000000
Степная,С-Казахстанская,Габит Мусрепов,KZ596600,596600000
Южно-Сибирская горная и предгорная,В-Казахстанская,Глубоковский,KZ634000,634000000
Степная,Костанайская,Денисовский,KZ394000,394000000
Сухостепная,Акмолинская,Егиндыкольский,KZ114400,114400000
Предгорно-пустынно-степная,Алматинская,Енбекшиказахский,KZ194000,194000000
Предгорно-пустынно-степная,Шымкент,Енбекшинскийский,KZ791510,791510000
Степная,Акмолинская,Ерейментауский,KZ114600,114600000
Сухостепная,Акмолинская,Есильский,KZ114800,114800000
Предгорно-пустынно-степная,Алматинская,Ескельдинский,KZ196400,196400000
Степная,Акмолинская,Жаксынский,KZ115200,115200000
Пустынная,Кызылординская,Жалагашский,KZ433600,433600000
Предгорно-пустынно-степная,Алматинская,Жамбылский,KZ194200,194200000
Полупустынная,Карагандинская,Жанааркинский,KZ354400,354400000
Пустынная,Кызылординская,Жанакорганский,KZ434000,434000000
Пустынная,Мангистауская,Жанаозен,KZ471800,471800000
Полупустынная,З-Казахстанская,Жангалинский,KZ274000,274000000
Полупустынная,Костанайская,Жангельдинский,KZ394200,394200000
Полупустынная,З-Казахстанская,Жанибекский,KZ274200,274200000
Сухостепная,Акмолинская,Жаркаинский,KZ115400,115400000
Полупустынная,В-Казахстанская,Жарминский,KZ634400,634400000
Полупустынная,Карагандинская,Жезказган,KZ351800,351800000
Степная,Павлодарская,Железинский,KZ554200,554200000
Предгорно-пустынно-степная,Туркестанская,Жетисайский,KZ613800,613800000
Предгорно-пустынно-степная,Алматы,Жетысуский,KZ751510,751510000
Сухостепная,Костанайская,Житикаринский,KZ394400,394400000
Предгорно-пустынно-степная,Жамбылская,Жамбылский,KZ314000,314000000
Предгорно-пустынно-степная,Жамбылская,Жуалынский,KZ314200,314200000
Пустынная,Атырауская,Жылыойский,KZ233600,233600000
Предгорно-пустынно-степная,В-Казахстанская,Зайсанский,KZ634600,634600000
Степная,Акмолинская,Зерендинский,KZ115600,115600000
Предгорно-пустынно-степная,Алматинская,Илийский,KZ196800,196800000
Пустынная,Атырауская,Индерский,KZ234000,234000000
Полупустынная,Актюбинская,Иргизский,KZ156800,156800000
Степная,Павлодарская,Иртышский,KZ554600,554600000
Пустынная,Атырауская,Исатайский,KZ234200,234200000
Пустынная,Кызылординская,Казалинский,KZ434400,434400000
Полупустынная,З-Казахстанская,Казталовский,KZ274800,274800000
Предгорно-пустынно-степная,Туркестанская,Казыгуртский,KZ614000,614000000
Сухостепная,Костанайская,Камыстинский,KZ394800,394800000
Полупустынная,Алматинская,Капчагай,KZ191600,191600000
Степная,Костанайская,Карабалыкский,KZ395000,395000000
Сухостепная,Карагандинская,Караганда,KZ351000,351000000
Полупустынная,Карагандинская,Каражал,KZ352000,352000000
Пустынная,Мангистауская,Каракиянский,KZ474200,474200000
Предгорно-пустынно-степная,Алматинская,Карасайский,KZ195200,195200000
Степная,Костанайская,Карасуский,KZ395200,395200000
Предгорно-пустынно-степная,Алматинская,Каратальский,KZ195000,195000000
Предгорно-пустынно-степная,Шымкент,Каратаускийский,KZ791710,791710000
Полупустынная,З-Казахстанская,Каратобеский,KZ275000,275000000
Сухостепная,Актюбинская,Каргалинский,KZ154000,154000000
Сухостепная,Карагандинская,Каркаралинский,KZ354800,354800000
Пустынная,Кызылординская,Кармакшинский,KZ434600,434600000
Южно-Сибирская горная и предгорная,В-Казахстанская,Катон-Карагайский,KZ635400,635400000
Предгорно-пустынно-степная,Алматинская,Кегенский,KZ194400,194400000
Предгорно-пустынно-степная,Туркестанская,Келесский,KZ613900,613900000
Предгорно-пустынно-степная,Туркестанская,Кентау,KZ612000,612000000
Предгорно-пустынно-степная,Алматинская,Кербулакский,KZ194600,194600000
Пустынная,Атырауская,Кзылкогинский,KZ234800,234800000
Сухостепная,В-Казахстанская,Кокпектинский,KZ635000,635000000
Предгорно-пустынно-степная,Алматинская,Коксуский,KZ194800,194800000
Степная,Акмолинская,Кокшетау,KZ111010,111010000
Сухостепная,Акмолинская,Коргалжынский,KZ116000,116000000
Предгорно-пустынно-степная,Жамбылская,Кордайский,KZ314800,314800000
Степная,Костанайская,Костанай,KZ391000,391000000
Степная,Костанайская,Костанайский,KZ395400,395400000
Пустынная,Атырауская,Курмангазинский,KZ234600,234600000
Полупустынная,В-Казахстанская,Курчатов,KZ632200,632200000
Южно-Сибирская горная и предгорная,В-Казахстанская,Курчумский,KZ635200,635200000
Степная,С-Казахстанская,Есильский,KZ594200,594200000
Степная,С-Казахстанская,Жамбылский,KZ594600,594600000
Степная,С-Казахстанская,Кызылжарский,KZ595000,595000000
Пустынная,Кызылординская,Кызылорда,KZ431000,431000000
Сухостепная,Костанайская,Лисаковск,KZ392000,392000000
Степная,С-Казахстанская,Магжан Жумабаев,KZ593600,593600000
Сухостепная,Павлодарская,Майский,KZ555600,555600000
Пустынная,Атырауская,Макатский,KZ235200,235200000
Предгорно-пустынно-степная,Туркестанская,Мактааральский,KZ614400,614400000
Степная,С-Казахстанская,Мамлютский,KZ595200,595200000
Пустынная,Мангистауская,Мангистауский,KZ474600,474600000
Сухостепная,Актюбинская,Мартукский,KZ154600,154600000
Пустынная,Атырауская,Махамбетский,KZ235600,235600000
Предгорно-пустынно-степная,Алматы,Медеуский,KZ751710,751710000
Степная,Костанайская,Мендыкаринский,KZ395600,395600000
Предгорно-пустынно-степная,Жамбылская,Меркенский,KZ315400,315400000
Предгорно-пустынно-степная,Жамбылская,Мойынкумский,KZ315600,315600000
Полупустынная,Актюбинская,Мугалжарский,KZ154800,154800000
Пустынная,Мангистауская,Мунайлинский,KZ475000,475000000
Сухостепная,Костанайская,Наурзумский,KZ395800,395800000
Предгорно-пустынно-степная,Алматы,Наурызбайский,KZ751810,751810000
Сухостепная,Карагандинская,Нуринский,KZ355200,355200000
Предгорно-пустынно-степная,Туркестанская,Ордабасынский,KZ614600,614600000
Сухостепная,Карагандинская,Осакаровский,KZ355600,355600000
Предгорно-пустынно-степная,Туркестанская,Отрарский,KZ614800,614800000
Сухостепная,Павлодарская,Павлодар,KZ551000,551000000
Сухостепная,Павлодарская,Павлодарский,KZ556000,556000000
Предгорно-пустынно-степная,Алматинская,Панфиловский,KZ195600,195600000
Степная,С-Казахстанская,Петропавловск,KZ591000,591000000
Полупустынная,Карагандинская,Приозерск,KZ352100,352100000
Предгорно-пустынно-степная,Алматинская,Райымбекский,KZ195800,195800000
Южно-Сибирская горная и предгорная,В-Казахстанская,Риддер,KZ632400,632400000
Степная,Костанайская,Рудный,KZ392400,392400000
Предгорно-пустынно-степная,Туркестанская,Сайрамский,KZ615200,615200000
Степная,Акмолинская,Сандыктауский,KZ116400,116400000
Сухостепная,Карагандинская,Сарань,KZ352200,352200000
Предгорно-пустынно-степная,Алматинская,Саркандский,KZ196000,196000000
Предгорно-пустынно-степная,Туркестанская,Сарыагашский,KZ615400,615400000
Сухостепная,Нур-Султан,Есильский,KZ711210,711210000
Сухостепная,Нур-Султан,Сарыаркинский,KZ711310,711310000
Степная,Костанайская,Сарыкольский,KZ396200,396200000
Пустынная,Жамбылская,Сарысуский,KZ316000,316000000
Полупустынная,Карагандинская,Сатпаев,KZ352300,352300000
Полупустынная,В-Казахстанская,Семей,KZ632800,632800000
Степная,Акмолинская,Степногорск,KZ111810,111810000
Пустынная,Туркестанская,Сузакский,KZ615600,615600000
Пустынная,Кызылординская,Сырдарьинский,KZ434800,434800000
Полупустынная,З-Казахстанская,Сырымский,KZ275800,275800000
Степная,С-Казахстанская,Тайыншинский,KZ596000,596000000
Пустынная,Жамбылская,Таласский,KZ316200,316200000
Предгорно-пустынно-степная,Алматинская,Талгарский,KZ196200,196200000
Предгорно-пустынно-степная,Алматинская,Талдыкорган,KZ191000,191000000
Предгорно-пустынно-степная,Жамбылская,Тараз,KZ311000,311000000
Южно-Сибирская горная и предгорная,В-Казахстанская,Тарбагатайский,KZ635800,635800000
Сухостепная,З-Казахстанская,Таскалинский,KZ276000,276000000
Предгорно-пустынно-степная,Алматинская,Текели,KZ192600,192600000
Полупустынная,Актюбинская,Темирский,KZ155600,155600000
Сухостепная,Карагандинская,Темиртау,KZ352400,352400000
Сухостепная,З-Казахстанская,Теректинский,KZ276200,276200000
Степная,Павлодарская,Теренкол,KZ554800,554800000
Степная,С-Казахстанская,Тимирязевский,KZ596200,596200000
Предгорно-пустынно-степная,Туркестанская,Толебийский,KZ615800,615800000
Пустынная,Мангистауская,Тупкараганский,KZ475200,475200000
Предгорно-пустынно-степная,Жамбылская,Турар Рыскулов,KZ315000,315000000
Предгорно-пустынно-степная,Туркестанская,Туркестан,KZ612600,611000000
Предгорно-пустынно-степная,Алматы,Турксибский,KZ751910,751910000
Предгорно-пустынно-степная,Туркестанская,Тюлькубасский,KZ616000,616000000
Степная,С-Казахстанская,Уалихановский,KZ596400,596400000
Степная,Костанайская,Узункольский,KZ396600,396600000
Полупустынная,Актюбинская,Уилский,KZ155200,155200000
Предгорно-пустынно-степная,Алматинская,Уйгурский,KZ196600,196600000
Южно-Сибирская горная и предгорная,В-Казахстанская,Уланский,KZ636200,636200000
Полупустынная,Карагандинская,Улытауский,KZ356000,356000000
Сухостепная,З-Казахстанская,Уральск,KZ271000,271000000
Предгорно-пустынно-степная,В-Казахстанская,Урджарский,KZ636400,636400000
Сухостепная,Павлодарская,Успенский,KZ556400,556400000
Южно-Сибирская горная и предгорная,В-Казахстанская,Усть-Каменогорск,KZ631000,631000000
Степная,Костанайская,Федоровский,KZ396800,396800000
Сухостепная,Актюбинская,Хобдинский,KZ154200,154200000
Полупустынная,Актюбинская,Хромтауский,KZ156000,156000000
Сухостепная,Акмолинская,Целиноградский,KZ116600,116600000
Пустынная,Кызылординская,Чиилийский,KZ435200,435200000
Сухостепная,З-Казахстанская,Чингирлауский,KZ276600,276600000
Степная,С-Казахстанская,Шал Акын,KZ595600,595600000
Пустынная,Актюбинская,Шалкарский,KZ156400,156400000
Предгорно-пустынно-степная,Туркестанская,Шардаринский,KZ616400,616400000
Сухостепная,Карагандинская,Шахтинск,KZ352800,352800000
Южно-Сибирская горная и предгорная,В-Казахстанская,Шемонаихинский,KZ636800,636800000
Полупустынная,Карагандинская,Шетский,KZ356400,356400000
Сухостепная,Акмолинская,Шортандинский,KZ116800,116800000
Предгорно-пустынно-степная,Жамбылская,Шуский,KZ316600,316600000
Сухостепная,Павлодарская,Щербактинский,KZ556800,556800000
Сухостепная,Павлодарская,Экибастуз,KZ552200,552200000
